0.493;18.1236839294;cnn;1;0;4000;200;5000
0.5005;13.1022830009;cnn;1;1;4000;200;5000
0.51375;18.1966438293;cnn;1;2;4000;200;5000
0.5125;12.9554700851;cnn;1;3;4000;200;5000
0.4945;18.1509130001;cnn;1;4;4000;200;5000
0.50375;13.1260259151;cnn;1;5;4000;200;5000
0.50275;22.2374510765;cnn;1;0;4000;600;5000
0.502;17.3900718689;cnn;1;1;4000;600;5000
0.50375;22.3663461208;cnn;1;2;4000;600;5000
0.495;17.7785379887;cnn;1;3;4000;600;5000
0.50525;19.6306240559;cnn;1;4;4000;600;5000
0.4925;17.798787117;cnn;1;5;4000;600;5000
0.4975;21.8087029457;cnn;1;0;4000;1000;5000
0.534;26.8840968609;cnn;1;1;4000;1000;5000
0.4985;22.0506789684;cnn;1;2;4000;1000;5000
0.50125;25.6057729721;cnn;1;3;4000;1000;5000
0.59975;26.8329319954;cnn;1;4;4000;1000;5000
0.5045;22.0766329765;cnn;1;5;4000;1000;5000
0.5865;30.7839870453;cnn;1;0;4000;1400;5000
0.51075;31.2178840637;cnn;1;1;4000;1400;5000
0.50975;25.7888410091;cnn;1;2;4000;1400;5000
0.4995;26.3309130669;cnn;1;3;4000;1400;5000
0.66025;29.8994338512;cnn;1;4;4000;1400;5000
0.61075;31.6493241787;cnn;1;5;4000;1400;5000
0.4995;30.2043278217;cnn;1;0;4000;1800;5000
0.5435;34.5730578899;cnn;1;2;4000;1800;5000
0.67325;31.3409371376;cnn;1;3;4000;1800;5000
0.5435;28.9666650295;cnn;1;4;4000;1800;5000
0.49025;33.4377288818;cnn;1;5;4000;1800;5000
0.72325;37.9933710098;cnn;1;0;4000;2200;5000
0.562;35.6020519733;cnn;1;1;4000;2200;5000
0.668;32.8125581741;cnn;1;2;4000;2200;5000
0.631;36.5314209461;cnn;1;3;4000;2200;5000
0.67525;37.4016301632;cnn;1;4;4000;2200;5000
0.73125;37.235681057;cnn;1;5;4000;2200;5000
0.73825;40.8720679283;cnn;1;0;4000;2600;5000
0.70275;41.0664379597;cnn;1;1;4000;2600;5000
0.74725;41.9812510014;cnn;1;2;4000;2600;5000
0.751;37.3481800556;cnn;1;3;4000;2600;5000
0.761;37.426733017;cnn;1;4;4000;2600;5000
0.736;36.5907170773;cnn;1;5;4000;2600;5000
0.7965;42.6584789753;cnn;1;0;4000;3000;5000
0.77675;44.8025867939;cnn;1;1;4000;3000;5000
